lesson,utterance,mean_time_difference,std_time_difference
01,00,-0.320,0.338
01,03,0.056,0.118
01,02,0.013,0.237
01,04,-0.488,0.133
02,00,-0.390,0.448
02,01,-0.728,0.418
02,02,0.889,0.658
01,01,-0.215,0.172
01,05,-0.083,0.101
02,05,-0.045,0.356
02,04,-0.189,0.247
02,03,-0.115,0.132 
