lesson,utterance,processing_time
01,00,0.02
01,03,0.02
01,02,0.01
01,04,0.09
02,00,0.02
02,01,0.01
02,02,0.03
01,01,0.01
01,05,0.02
02,05,0.02
02,04,0.02
02,03,0.03 
