filename,category,mfcc_mean,mfcc_std,mfcc_cv,mfcc_stability,mfcc_range_valid,mfcc_std_valid
session_20250224_164723_Lesson01_Anna_Teacher_utterance03.wav,teacher,-38.217460435880916,101.70039773187099,1.1012373342615866e+17,False,True,True
session_20250304_170215_Lesson03_Anna_Teacher_utterance01.wav,teacher,-38.60245514859656,111.02285504352689,1.756403850172066e+17,False,True,True
session_20250304_170215_Lesson03_Man_Teacher_utterance14.wav,teacher,-42.482553136878586,140.855585106535,2.341871799132694e+17,False,True,True
session_20250304_130209_Lesson02_Pete_Teacher_utterance02.wav,teacher,-42.78974177447552,135.8374184247224,1.101744232505429e+17,False,True,True
session_20250304_170215_Lesson03_Anna_Teacher_utterance15.wav,teacher,-40.180758242644934,133.4565135721839,1.1240984609600896e+17,False,True,True
session_20250304_170215_Lesson03_Man_Teacher_utterance00.wav,teacher,-48.439716632894736,151.72773356611015,9.221120218652636e+17,False,True,True
session_20250304_170215_Lesson03_Marsha_Teacher_utterance25.wav,teacher,-38.220899005669175,81.3705128582767,1.756403850935091e+17,False,True,True
session_20250304_170215_Lesson03_Marsha_Teacher_utterance19.wav,teacher,-50.0899990516823,168.00289744421326,1.0036593407724189e+17,False,True,True
session_20250224_171333_Lesson01_Pete_Teacher_utterance02.wav,teacher,-36.62595494963066,108.17825936133252,2.341871800315575e+17,False,True,True
session_20250224_171333_Lesson01_Pete_Teacher_utterance03.wav,teacher,-39.109796088233146,102.65078738500692,2.0637745235309875e+17,False,True,True
session_20250304_170215_Lesson03_Marsha_Teacher_utterance18.wav,teacher,-35.812922914846375,75.99737330952743,1.0408319114690168e+17,False,True,True
session_20250304_170215_Lesson03_Marsha_Teacher_utterance24.wav,teacher,-38.19134128464793,104.43807644712673,2.1838472657976227e+17,False,True,True
session_20250304_170215_Lesson03_Man_Teacher_utterance01.wav,teacher,-40.446664204965224,99.70134472130755,2.0073186868651418e+17,False,True,True
session_20250304_170215_Lesson03_Anna_Teacher_utterance14.wav,teacher,-42.482553136878586,140.855585106535,2.341871799132694e+17,False,True,True
session_20250304_130209_Lesson02_Pete_Teacher_utterance03.wav,teacher,-41.34975528648041,107.73056405686727,8.294129294894531e+16,False,True,True
session_20250304_170215_Lesson03_Man_Teacher_utterance15.wav,teacher,-40.180758242644934,133.4565135721839,1.1240984609600896e+17,False,True,True
session_20250304_170215_Lesson03_Anna_Teacher_utterance00.wav,teacher,-44.7396496022102,146.0990282346839,4.261098091091629e+16,False,True,True
session_20250224_164723_Lesson01_Anna_Teacher_utterance02.wav,teacher,-40.043068490578165,109.53384758403476,1.495316791233875e+17,False,True,True
session_20250304_130209_Lesson02_Anna_Teacher_utterance04.wav,teacher,-42.93223525423638,101.97822585452876,2.268688306456933e+17,False,True,True
session_20250224_164723_Lesson01_Anna_Teacher_utterance00.wav,teacher,-42.69789053464772,95.24689552738963,5.532672127481627e+16,False,True,True
session_20250304_170215_Lesson03_Anna_Teacher_utterance16.wav,teacher,-37.39616716710122,98.07081553213067,1.756403851364959e+17,False,True,True
session_20250304_130209_Lesson02_Pete_Teacher_utterance01.wav,teacher,-43.278690775217946,122.46351721493797,2.019864427473404e+18,False,True,True
session_20250304_170215_Lesson03_Man_Teacher_utterance03.wav,teacher,-39.44558592329545,117.29352087655867,inf,False,True,True
session_20250304_170215_Lesson03_Anna_Teacher_utterance02.wav,teacher,-39.68784141836613,113.86681614191322,7.254711552932334e+16,False,True,True
session_20250304_170215_Lesson03_Man_Teacher_utterance17.wav,teacher,-40.511698760874246,97.37101328708592,4.5326551002941256e+16,False,True,True
session_20250224_171333_Lesson01_Anna_Teacher_utterance04.wav,teacher,-40.62369442461884,97.31768014750844,1.7198121029605414e+17,False,True,True
session_20250224_171333_Lesson01_Pete_Teacher_utterance01.wav,teacher,-35.01772196990436,78.01839001632798,1.561247866739999e+17,False,True,True
session_20250224_171333_Lesson01_Pete_Teacher_utterance00.wav,teacher,-39.009691342137295,116.32390019169851,6.452095772434021e+16,False,True,True
