,mfcc_mean,mfcc_mean,f0_missing_rate,f0_missing_rate,energy_mean,energy_mean,zcr_mean,zcr_mean
,mean,std,mean,std,mean,std,mean,std
category,,,,,,,,
學生,-58.6102,19.9675,0.8282,0.2926,0.0178,0.0355,0.4461,0.2165
教師,-40.6857,9.5314,0.5316,0.2338,0.0262,0.0154,0.1484,0.0798
